id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
2970,hstore,hstore,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2980,citext,citext,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2990,xml2,xml2,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
3000,topn,topn,FUNC,t,PGDG,topn_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-topn,"{16,15,14,13,12}"
3010,gzip,pg_gzip,FUNC,t,PGDG,pgsql_gzip_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-gzip,"{17,16,15,14,13,12}"
3020,zstd,pg_zstd,FUNC,t,PIGSTY,pg_zstd_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-zstd,"{17,16,15,14,13,12}"
3030,http,pg_http,FUNC,t,PGDG,pgsql_http_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-http,"{17,16,15,14,13,12}"
3040,pg_net,pg_net,FUNC,t,PIGSTY,pg_net_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-net,"{17,16,15,14,13,12}"
3050,pg_smtp_client,pg_smtp_client,FUNC,t,PIGSTY,pg_smtp_client_$v,"{17,16,15,14}",PIGSTY,postgresql-$v-pg-smtp-client,"{17,16,15,14}"
3060,pg_html5_email_address,pg_html5_email_address,FUNC,t,PIGSTY,pg_html5_email_address_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-html5-email-address,"{17,16,15,14,13,12}"
3070,pgsql_tweaks,pgsql_tweaks,FUNC,t,PGDG,pgsql_tweaks_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pgsql-tweaks,"{17,16,15,14,13,12}"
3080,pg_extra_time,pg_extra_time,FUNC,t,PGDG,pg_extra_time_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-extra-time,"{17,16,15,14,13,12}"
3090,timeit,pg_timeit,FUNC,t,PIGSTY,pg_timeit_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-timeit,"{17,16,15,14,13,12}"
3100,count_distinct,count_distinct,FUNC,t,PIGSTY,count_distinct_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-count-distinct,"{17,16,15,14,13,12}"
3110,extra_window_functions,extra_window_functions,FUNC,t,PGDG,extra_window_functions_$v*,"{17,16,15}",PGDG,postgresql-$v-extra-window-functions,"{17,16,15,14,13,12}"
3120,first_last_agg,first_last_agg,FUNC,t,PIGSTY,first_last_agg_$v,"{17,16,15,14,13,12}",PGDG,postgresql-$v-first-last-agg,"{17,16,15,14,13,12}"
3130,tdigest,tdigest,FUNC,t,PGDG,tdigest_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-tdigest,"{17,16,15,14,13,12}"
3140,aggs_for_vecs,aggs_for_vecs,FUNC,t,PIGSTY,aggs_for_vecs_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-aggs-for-vecs,"{17,16,15,14,13,12}"
3150,aggs_for_arrays,aggs_for_arrays,FUNC,t,PIGSTY,aggs_for_arrays_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-aggs-for-arrays,"{17,16,15,14,13,12}"
3160,arraymath,pg_arraymath,FUNC,t,PIGSTY,pg_arraymath_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-arraymath,"{17,16,15,14,13,12}"
3170,quantile,quantile,FUNC,t,PIGSTY,quantile_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-quantile,"{17,16,15,14,13,12}"
3180,lower_quantile,lower_quantile,FUNC,t,PIGSTY,lower_quantile_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-lower-quantile,"{17,16,15,14,13,12}"
3200,pg_idkit,pg_idkit,FUNC,t,PIGSTY,pg_idkit_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-idkit,"{17,16,15,14,13,12}"
3210,pg_uuidv7,pg_uuidv7,FUNC,t,PGDG,pg_uuidv7_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-uuidv7,"{17,16,15,14,13,12}"
3220,permuteseq,permuteseq,FUNC,t,PIGSTY,permuteseq_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-permuteseq,"{17,16,15,14,13,12}"
3230,pg_hashids,pg_hashids,FUNC,t,PIGSTY,pg_hashids_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-hashids,"{17,16,15,14,13,12}"
3240,sequential_uuids,sequential_uuids,FUNC,t,PGDG,sequential_uuids_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-sequential-uuids,"{17,16,15,14,13,12}"
3300,pg_math,pg_math,FUNC,t,PIGSTY,pg_math_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-math,"{17,16,15,14,13,12}"
3310,random,pg_random,FUNC,t,PIGSTY,pg_random_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-random,"{17,16,15,14,13,12}"
3320,base36,pg_base36,FUNC,t,PIGSTY,pg_base36_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-base36,"{17,16,15,14,13,12}"
3330,base62,pg_base62,FUNC,t,PIGSTY,pg_base62_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-base62,"{17,16,15,14,13,12}"
3340,pg_base58,pg_base58,FUNC,t,PIGSTY,pg_base58_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-base58,"{17,16,15,14,13,12}"
3350,floatvec,floatvec,FUNC,t,PIGSTY,floatvec_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-floatvec,"{17,16,15,14,13,12}"
